@attribute measureOutOfBagError numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data

Conocimiento,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,4,1,0,80,20,0,0,0.404255,0.423933,100,100,3.956159,3.956159,0,0.791232,0.791232,0,0,0,0,1,4,1,1,0,0,0,0,0.8,1,0.888889,?,0.5,0.8,0.8,0.8,0.2,0.2,?,0.8,?,?,0.5,0.68,?,0.8,0,0.001,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Conocimiento,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20180909.0224,45,5,3,2,0,60,40,0,0,0.46383,0.496525,100,100,4.959163,4.959163,0,0.991833,0.991833,0,0,0,0,1,3,1,2,0,0,0,0,0.6,1,0.75,?,0.5,0.6,0.6,0.6,0.4,0.4,?,0.6,?,?,0.5,0.52,?,0.6,0.001,0,0,0,0,0,923,6309,2589,100,100,?,?,?,?,?,?,?,?,?,?,?,?,?,?
